Dx|DIAGNOSTICO
F800|TRASTORNO ESPECÍFICO DE LA PRONUNCIACIÓN.
F801|TRASTORNO DE LA EXPRESIÓN DEL LENGUAJE.
F802|TRASTORNO DE LA COMPRENSIÓN DEL LENGUAJE.
F803|AFASIA ADQUIRIDA CON EPILEPSIA (SÍNDROME DE LANDAU-KLEFFNER).
F808|OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE.
F809|TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE SIN ESPECIFICACIÓN.
F810|TRASTORNO ESPECÍFICO DE LA LECTURA.
F811|TRASTORNO ESPECÍFICO DE LA ORTOGRAFÍA.
F812|TRASTORNO ESPECÍFICO DEL CÁLCULO.
F813|TRASTORNO MIXTO DEL DESARROLLO DEL APRENDIZAJE ESCOLAR.
F818|OTROS TRASTORNOS DEL DESARROLLO DEL APRENDIZAJE ESCOLAR.
F819|TRASTORNO DEL DESARROLLO DEL APRENDIZAJE ESCOLAR SIN ESPECIFICACIÓN.
F82X|TRASTORNO ESPECÍFICO DEL DESARROLLO PSICOMOTOR
F83X|TRASTORNO ESPECÍFICO DEL DESARROLLO MIXTO
F840|AUTISMO INFANTIL.
F841|AUTISMO ATÍPICO.
F842|SÍNDROME DE RETT.
F843|OTRO TRASTORNO DESINTEGRATIVO DE LA INFANCIA.
F844|TRASTORNO HIPERCINÉTICO CON RETRASO MENTAL Y MOVIMIENTOS ESTEREOTIPADOS.
F845|SÍNDROME DE ASPERGER.
F848|OTROS TRASTORNOS GENERALIZADOS DEL DESARROLLO.
F849|TRASTORNO GENERALIZADO DEL DESARROLLO SIN ESPECIFICACIÓN.
F900|TRASTORNO DE LA ACTIVIDAD Y DE LA ATENCIÓN.
F901|TRASTORNO HIPERCINÉTICO DISOCIAL.
F908|OTROS TRASTORNOS HIPERCINÉTICOS.
F909|TRASTORNO HIPERCINÉTICO SIN ESPECIFICACIÓN.
F95|TRASTORNOS DE TICS
F950|TRASTORNO DE TICS TRANSITORIOS.
F951|TRASTORNO DE TICS CRÓNICOS MOTORES O FONATORIOS.
F952|TRASTORNO DE TICS MÚLTIPLES MOTORES Y FONATORIOS COMBINADOS (SÍNDROME DE GILLES DE LA TOURETTE).
F958|OTROS TRASTORNOS DE TICS.
F959|TRASTORNO DE TICS SIN ESPECIFICACIÓN.
F700|RETRASO MENTAL LEVE DETERIORO DEL COMPORTAMIENTO NULO O MINIMO
F701|RETRASO MENTAL LEVE DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO QUE REQUIERE ATENCION O TRATAMIENTO
F708|RETRASO MENTAL LEVE OTROS DETERIOROS DEL COMPORTAMIENTO
F709|RETRASO MENTAL LEVE DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO
F710|RETRASO MENTAL MODERADO DETERIORO DEL COMPORTAMIENTO NULO O MINIMO
F711|RETRASO MENTAL MODERADO DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO QUE REQUIERE ATENCION O TRATAMIENTO
F718|RETRASO MENTAL MODERADO OTROS DETERIOROS DEL COMPORTAMIENTO
F719|RETRASO MENTAL MODERADO DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO
F720|RETRASO MENTAL GRAVE DETERIORO DEL COMPORTAMIENTO NULO O MINIMO
F721|RETRASO MENTAL GRAVE DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO QUE REQUIERE ATENCION O TRATAMIENTO
F728|RETRASO MENTAL GRAVE OTROS DETERIOROS DEL COMPORTAMIENTO
F729|RETRASO MENTAL GRAVE DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO
F730|RETRASO MENTAL PROFUNDO DETERIORO DEL COMPORTAMIENTO NULO O MINIMO
F731|RETRASO MENTAL PROFUNDO DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO QUE REQUIERE ATENCION O TRATAMIENTO
F738|RETRASO MENTAL PROFUNDO OTROS DETERIOROS DEL COMPORTAMIENTO
F739|RETRASO MENTAL PROFUNDO DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO
F780|OTROS TIPOS DE RETRASO MENTAL DETERIORO DEL COMPORTAMIENTO NULO O MINIMO
F781|OTROS TIPOS DE RETRASO MENTAL DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO QUE REQUIERE ATENCION O TRATAMIENTO
F788|OTROS TIPOS DE RETRASO MENTAL OTROS DETERIOROS DEL COMPORTAMIENTO
F789|OTROS TIPOS DE RETRASO MENTAL DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO
F790|RETRASO MENTAL NO ESPECIFICADO DETERIORO DEL COMPORTAMIENTO NULO O MINIMO
F791|RETRASO MENTAL NO ESPECIFICADO DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO QUE REQUIERE ATENCION O TRATAMIENTO
F798|RETRASO MENTAL NO ESPECIFICADO OTROS DETERIOROS DEL COMPORTAMIENTO
F799|RETRASO MENTAL NO ESPECIFICADO DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO
F067|TRASTORNO COGNOSCITIVO LEVE
Q912|TRISOMIA 18 POR TRANSLOCACION
F88X|OTROS TRASTORNOS DEL DESARROLLO PSICOLOGICO
F89X|TRASTORNO DEL DESARROLLO PSICOLOGICO NO ESPECIFICADO
R418|OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSCITIVA Y LA CONCIENCIA Y LOS NO ESPECIFICADOS
R620|RETARDO DEL DESARROLLO
Q900|TRISOMIA 21 POR FALTA DE DISYUNCION MEIOTICA
Q901|TRISOMIA 21 MOSAICO (POR FALTA DE DISYUNCION MITOTICA)
