CUPS_ISS|HOM_SOAT|SERVICIO
933300|N/A|TERAPIA MODALIDADES HIDRAULICAS E HIDRICAS SOD
933901|29113|TERAPIA DE INTEGRACION SENSORIAL
937000|29114|TERAPIA FONOAUDIOLOGICA INTEGRAL SOD
937101|29114|TERAPIA FONOAUDIOLOGICA PARA PROBLEMAS EVOLUTIVOS Y ADQUIRIDOS DEL LENGUAJE ORAL Y ESCRITO
937203|29114|TERAPIA FONOAUDIOLOGICA DE LA DEGLUCION
938303|29113|TERAPIA OCUPACIONAL INTEGRAL
944301|29113|TERAPIA DE REHABILITACION COGNITIVA
890275|36100|CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN NEUROLOGÍA PEDIÁTRICA
890375|36100|CONSULTA DE CONTROL O DE SEGUIMIENTO POR ESPECIALISTA NEUROLOGÍA PEDIÁTRICA
940701|N/A|ADMINISTRACIÓN [APLICACIÓN] DE PRUEBA NEUROPSICOLÓGICA (CUALQUIER TIPO) (CADA UNA)
890208|35102|CONSULTA DE PRIMERA VEZ POR PSICOLOGÍA
943102|35102|TERAPIA ABA (VALOR POR HORA)
890308|34104|CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGÍA
930102|N/A|PRUEBA CONGNITIVA
937400|23114|TERAPIA FONOAUDIOLÓGICA PARA DESÓRDENES COGNITIVO COMUNICATIVOS SOD
938610|29112|REHABILITACIÓN FUNCIONAL DE LA DEFICIENCIA-DISCAPACIDAD TRANSITORIA LEVE
940101|N/A|ADMINISTRACIÓN [APLICACIÓN] DE PRUEBA DE INTELIGENCIA (CUALQUIER TIPO) (CADA UNA)
938611|29112|REHABILITACIÓN FUNCIONAL DE LA DEFICIENCIA-DISCAPACIDAD TRANSITORIA MODERADA
938612|29112|REHABILITACIÓN FUNCIONAL DE LA DEFICIENCIA-DISCAPACIDAD TRANSITORIA SEVERA
890502|N/A|PARTICIPACIÓN EN JUNTA MÉDICA O EQUIPO INTERDISCIPLINARIO POR MEDICINA ESPECIALIZADA Y CASO (PACIENTE)
890503|39114|PARTICIPACIÓN EN JUNTA MÉDICA O EQUIPO INTERDISCIPLINARIO POR OTRO PROFESIONAL DE LA SALUD Y CASO (PACIENTE
890206|36100|CONSULTA DE PRIMERA VEZ POR NUTRICIÓN Y DIETÉTICA
